name: 0d1c574f-032d-4844-9536-cdb7f8ddec3a num_items: 100
token, class_id, token_value, token_tf, token_df
череда, @default_class, 8.280202018795535e-05, 1.0, 1.0
ценообразование, @default_class, 8.280202018795535e-05, 1.0, 1.0
уралхим, @default_class, 0.00024840605328790843, 3.0, 1.0
трейдер, @default_class, 8.280202018795535e-05, 1.0, 1.0
соглашаться, @default_class, 8.280202018795535e-05, 1.0, 1.0
родина, @default_class, 8.280202018795535e-05, 1.0, 1.0
рейдерский, @default_class, 8.280202018795535e-05, 1.0, 1.0
привлечение, @default_class, 8.280202018795535e-05, 1.0, 1.0
порывать, @default_class, 8.280202018795535e-05, 1.0, 1.0
объективный, @default_class, 8.280202018795535e-05, 1.0, 1.0
необоснованный, @default_class, 8.280202018795535e-05, 1.0, 1.0
миноритарный, @default_class, 0.0001656040403759107, 2.0, 1.0
методика, @default_class, 8.280202018795535e-05, 1.0, 1.0
махлый, @default_class, 0.0001656040403759107, 2.0, 1.0
мазепин, @default_class, 8.280202018795535e-05, 1.0, 1.0
конкурент, @default_class, 8.280202018795535e-05, 1.0, 1.0
конечный, @default_class, 8.280202018795535e-05, 1.0, 1.0
заочный, @default_class, 0.0001656040403759107, 2.0, 1.0
долгий, @default_class, 8.280202018795535e-05, 1.0, 1.0
выезжать, @default_class, 8.280202018795535e-05, 1.0, 1.0
возбуждение, @default_class, 8.280202018795535e-05, 1.0, 1.0
вновь, @default_class, 8.280202018795535e-05, 1.0, 1.0
биржевой, @default_class, 8.280202018795535e-05, 1.0, 1.0
басманный, @default_class, 8.280202018795535e-05, 1.0, 1.0
аммиак, @default_class, 0.0001656040403759107, 2.0, 1.0
акционер, @default_class, 0.0001656040403759107, 2.0, 1.0
средневзвешенный, @default_class, 8.280202018795535e-05, 1.0, 1.0
сравниваться, @default_class, 8.280202018795535e-05, 1.0, 1.0
полугодие, @default_class, 0.0001656040403759107, 2.0, 1.0
пересвет, @default_class, 8.280202018795535e-05, 1.0, 1.0
