level_0,index,idxs,peer_id,message_date,message,text
30289,24.0,33,channel1337885219,2021-08-24T14:58:38,а у этого канала и не было никогда галки,а у этого канала и не было никогда галки
8462,6294.0,6590,channel1043793945,2020-01-16T09:30:01,доброго четверга немного новостей на утро в россии придумали новый способ борьбы с телефонными мошенниками 3903 инвестирует 1 млрд в цифровизацию бизнеса в индии 3904 в китае открыли полностью роботизированный ресторан 3905,доброго четверга немного новостей на утро в россии придумали новый способ борьбы с телефонными мошенниками 3903 инвестирует 1 млрд в цифровизацию бизнеса в индии 3904 в китае открыли полностью роботизированный ресторан 3905
1898,1207.0,1503,channel1047361277,2021-03-10T13:11:59,хорошее пояснение по тому как технически работает замедление и почему оно действует не у всех 218600 а еще обстоятельство замедление включает сам роскомнадзор но в теории интернет провайдеры могут его отключить на своей стороне если посчитают что действия органа наносят финансовый или иной урон компании например клиенты уходят из за снижения качества сервиса впрочем что то мне подсказывает что делать этого они не будут,хорошее пояснение по тому как технически работает замедление и почему оно действует не у всех 218600 а еще обстоятельство замедление включает сам роскомнадзор но в теории интернет провайдеры могут его отключить на своей стороне если посчитают что действия органа наносят финансовый или иной урон компании например клиенты уходят из за снижения качества сервиса впрочем что то мне подсказывает что делать этого они не будут
29555,3199.0,3329,channel1009962628,2021-11-20T16:26:46,пицца прямо полигон высоких технологий в фастфуде наша додо превращает пиццу в ит продукт а тут команда инженеров трансформирует пиццерию в роботизированное производство по сборке ой пардон приготовлению пиццы причем роботизированность никто не прячет стеснительно в невидимой кухне наоборот шоу роботов есть часть образа пиццерии выглядит и впрямь заманчиво но хочется попробовать на вкус,пицца прямо полигон высоких технологий в фастфуде наша додо превращает пиццу в ит продукт а тут команда инженеров трансформирует пиццерию в роботизированное производство по сборке ой пардон приготовлению пиццы причем роботизированность никто не прячет стеснительно в невидимой кухне наоборот шоу роботов есть часть образа пиццерии выглядит и впрямь заманчиво но хочется попробовать на вкус
1988,1297.0,1608,channel1047361277,2021-07-12T12:24:42,на медузе вышло интервью с создателем бота пробива данных глаз бога евгением антиповым интересно оно тем что кто то впервые с открытым лицом и потенциальными данными за пазухой обвиняет администрацию в сотрудничестве с российскими силовиками антипов утверждает что после всего прессинга органами из за нового закона о персданных ему даже не придется делиться перепиской клиентов глаза бога со следственным комитетом потому что следователи предпочитают получать эту информацию напрямую у по его словам удаление глаза бога из делали вручную модераторы мессенджера оперативно зачищая все что связано с аккаунтом антипова включая клонов сервиса а не просто выполняя судебное решение а еще якобы у него есть архив слитых переписок и голосовых людей из команды где они обсуждают коррупцию и связь с роскомнадзором и грозится это слить интересно пахнет попкорном нет не особо антипов по его же словам зарабатывал на боте до 15 миллионов в месяц и неудивительно что после удаления он обижен на администрацию и готов выступать на любую тему чтобы занять более выгодную позицию в переговорах по возврату актива но до такой степени чтобы заявлять я создам свой мессенджер и туда переведу пользователей а предварительно устрою слив компромата и это при том что он в одном предложении не отрицает что у него не изъяли технику после обыска из за сотрудничества с органами раздает силовикам бесплатные доступы за благодарственные грамоты и скрывает названия фсб и мвд из поиска а в другом рассказывает как выдал бесплатные доступы журналистам и потом вывел историю их запросов на экран в офисе чтобы наблюдать кто станет следующими героями их расследований и вообще буквально заявляет да мы просто хотим отобрать свой старый канал обратно где было за миллион подписчиков он нам нужен для маркетинга нашего нового продукта тут уж и родную мать можно продать не только пользователей,на медузе вышло интервью с создателем бота пробива данных глаз бога евгением антиповым интересно оно тем что кто то впервые с открытым лицом и потенциальными данными за пазухой обвиняет администрацию в сотрудничестве с российскими силовиками антипов утверждает что после всего прессинга органами из за нового закона о персданных ему даже не придется делиться перепиской клиентов глаза бога со следственным комитетом потому что следователи предпочитают получать эту информацию напрямую у по его словам удаление глаза бога из делали вручную модераторы мессенджера оперативно зачищая все что связано с аккаунтом антипова включая клонов сервиса а не просто выполняя судебное решение а еще якобы у него есть архив слитых переписок и голосовых людей из команды где они обсуждают коррупцию и связь с роскомнадзором и грозится это слить интересно пахнет попкорном нет не особо антипов по его же словам зарабатывал на боте до 15 миллионов в месяц и неудивительно что после удаления он обижен на администрацию и готов выступать на любую тему чтобы занять более выгодную позицию в переговорах по возврату актива но до такой степени чтобы заявлять я создам свой мессенджер и туда переведу пользователей а предварительно устрою слив компромата и это при том что он в одном предложении не отрицает что у него не изъяли технику после обыска из за сотрудничества с органами раздает силовикам бесплатные доступы за благодарственные грамоты и скрывает названия фсб и мвд из поиска а в другом рассказывает как выдал бесплатные доступы журналистам и потом вывел историю их запросов на экран в офисе чтобы наблюдать кто станет следующими героями их расследований и вообще буквально заявляет да мы просто хотим отобрать свой старый канал обратно где было за миллион подписчиков он нам нужен для маркетинга нашего нового продукта тут уж и родную мать можно продать не только пользователей
24125,2532.0,3354,channel1051500113,2021-04-08T16:53:59,в марте анонсировал сервис в котором нейронки запикивают в режиме реального времени гадости которые говорят в аудио чат в играх и тп как игрок в могу сказать что точно есть настройки которые включил бы я так понимаю это уже обычный вектор развития модерации что в соц сетях нейронки определяют что токсичность а что еще нет что в аудио формате скоро поди в операционную систему встроят как настройка того что видно на экране и слышно в динамиках а слово на букву н вообще вынесено под отдельный переключатель тут подбробнее 697156 выйдет в этом году сразу пойду тестировать что он запикивает,в марте анонсировал сервис в котором нейронки запикивают в режиме реального времени гадости которые говорят в аудио чат в играх и тп как игрок в могу сказать что точно есть настройки которые включил бы я так понимаю это уже обычный вектор развития модерации что в соц сетях нейронки определяют что токсичность а что еще нет что в аудио формате скоро поди в операционную систему встроят как настройка того что видно на экране и слышно в динамиках а слово на букву н вообще вынесено под отдельный переключатель тут подбробнее 697156 выйдет в этом году сразу пойду тестировать что он запикивает
9748,7580.0,7904,channel1043793945,2020-06-14T10:30:28,воскресенье немного новостей показала свою консоль 4366 запустила ракету носитель 9 с 58 спутниками 4367 голосовых помощников научат отвечать даже когда к ним не обращаются 4368,воскресенье немного новостей показала свою консоль 4366 запустила ракету носитель 9 с 58 спутниками 4367 голосовых помощников научат отвечать даже когда к ним не обращаются 4368
20415,2124.0,3603,channel1190798227,2022-04-04T10:00:46,идея оффлайн онлайн касса напрокат вложения от 210 000 сдача аппаратов напрокат трендовая ниша актуален бизнес на аренде онлайн касс еще и потому что в россии их применение обязательно 2017 года согласно требованиям законодательства рф начался переход на онлайн кассы с этого года должны перейти все оставшиеся ип и юрлица нужно отметить что рынок будет продолжать расти за счет перехода с автономных касс на смартерминалы а также введения маркированных товаров и несмотря на то что законодательно переход на онлайн кассы ввели уже достаточно давно рынок еще только формируется и есть большие перспективы для развития этого бизнеса касса напрокат для клиентов это минимальная сумма для начала продаж достаточно оплатить 1 месяц аренды никаких хлопот клиент просто выбирает тариф все работы по регистрации настройке и обучению сотрудников выполняет арендодатель также арендодатель онлайн кассы проводит бесплатное обновление по в соответствии с изменениями законодательства товароучетная система которая позволяет контролировать и управлять бизнесом из любой точки мира онлайн наша сеть,идея оффлайн онлайн касса напрокат вложения от 210 000 сдача аппаратов напрокат трендовая ниша актуален бизнес на аренде онлайн касс еще и потому что в россии их применение обязательно 2017 года согласно требованиям законодательства рф начался переход на онлайн кассы с этого года должны перейти все оставшиеся ип и юрлица нужно отметить что рынок будет продолжать расти за счет перехода с автономных касс на смартерминалы а также введения маркированных товаров и несмотря на то что законодательно переход на онлайн кассы ввели уже достаточно давно рынок еще только формируется и есть большие перспективы для развития этого бизнеса касса напрокат для клиентов это минимальная сумма для начала продаж достаточно оплатить 1 месяц аренды никаких хлопот клиент просто выбирает тариф все работы по регистрации настройке и обучению сотрудников выполняет арендодатель также арендодатель онлайн кассы проводит бесплатное обновление по в соответствии с изменениями законодательства товароучетная система которая позволяет контролировать и управлять бизнесом из любой точки мира онлайн наша сеть
14972,12804.0,13277,channel1043793945,2022-01-09T17:23:25,семь раз напомни один раз оштрафуй в интервью газете министр юстиции фрг марко бушман напомнил что должен назначить представителя или официальное контактное лицо на территории германии с конца декабря ситуация не изменилась немецкие власти все еще вынуждены отправлять запросы на удаление незаконных материалов в штаб квартиру в дубае это не только не очень удобно министр подчеркнул что отсутствие представителя в германии нарушает законы а они по словам бушмана действуют и для министр не стал скрывать что дальнейшее игнорирование просьбы грозит мессенджеру дурова миллионными штрафами впрочем угрозы из фрг для поступают уже давно,семь раз напомни один раз оштрафуй в интервью газете министр юстиции фрг марко бушман напомнил что должен назначить представителя или официальное контактное лицо на территории германии с конца декабря ситуация не изменилась немецкие власти все еще вынуждены отправлять запросы на удаление незаконных материалов в штаб квартиру в дубае это не только не очень удобно министр подчеркнул что отсутствие представителя в германии нарушает законы а они по словам бушмана действуют и для министр не стал скрывать что дальнейшее игнорирование просьбы грозит мессенджеру дурова миллионными штрафами впрочем угрозы из фрг для поступают уже давно
27671,1315.0,1370,channel1009962628,2018-08-02T00:36:07,всерьез выполняет обещания вот сейчас они начали раскатывать новую версию своих приложений фб и инста в которой появилась панель мониторинга и управления временем проводимым в этих залипучих местах правда даются сводки для каждого устройства а не в целом но для большинства людей важно именно время проведенное со своего мобильника можно не только любоваться на количество потраченных часов но и устанавливать разные ограничения чтобы время это сократить интересно будет посмотреть на результаты теоретически возможна небольшая потеря проводимого времени а значит собираемых фейсбуком денег но в текущей проблемной ситуации лояльность важнее да и выгорание пользователей фейсбуку тоже не нужно ждем когда до россии докатится обновление интересно будут ли клонировать фичу наши местные сервисы 75764,всерьез выполняет обещания вот сейчас они начали раскатывать новую версию своих приложений фб и инста в которой появилась панель мониторинга и управления временем проводимым в этих залипучих местах правда даются сводки для каждого устройства а не в целом но для большинства людей важно именно время проведенное со своего мобильника можно не только любоваться на количество потраченных часов но и устанавливать разные ограничения чтобы время это сократить интересно будет посмотреть на результаты теоретически возможна небольшая потеря проводимого времени а значит собираемых фейсбуком денег но в текущей проблемной ситуации лояльность важнее да и выгорание пользователей фейсбуку тоже не нужно ждем когда до россии докатится обновление интересно будут ли клонировать фичу наши местные сервисы 75764
