,main0,main1,main2
город,0.0033472076,0.010739527,0.0024920604
речь,0.00048496574,0.0016668532,0.0017938978
первый,0.009217933,0.0047033858,0.0011012712
инцидент,0.0015746272,0.001973933,0.0032420245
продолжать,0.00023862255,0.0029150485,0.00049696723
касаться,0.0014725223,0.00061069976,0.0009387824
андрей,0.00072415906,0.0041360874,0.0026402145
призывать,0.0017185196,0.00042214312,0.0009124923
объяснять,0.00020373121,0.00032044618,0.0020650653
становиться,0.002816045,0.0058759046,0.01111323
член,0.00028210587,1.3649231e-05,0.0022502502
никто,0.00062995,0.0002957505,0.0022747372
открывать,0.00042728375,0.001931419,0.00064289034
февраль,0.0005627816,0.0066931457,0.00320917
управление,4.158202e-05,0.00021601234,0.0022618324
текущий,9.945662e-06,0.0028374754,0.00071977684
оборона,0.000828885,0.004655912,0.00018963101
судебный,0.0018270703,0.0015165623,0.00046916332
россиянин,6.395883e-05,0.0052273935,0.00028301682
поставка,0.00053018826,0.0036128177,0.0007273574
следующий,0.0006505146,0.0018959874,0.0005125929
руководитель,0.0036534125,0.0003967621,0.0010385425
убийство,0.00047966692,0.00013958369,0.0044722855
летний,0.001844207,0.0049164877,0.0032033382
пытаться,0.0025268404,0.004377044,0.0016666498
второй,0.0031127355,0.0052368934,0.0005771369
течение,0.0024545563,4.9199705e-05,0.0021602574
британский,0.0032804946,6.532235e-05,0.0020548198
новость,0.0026519115,0.005592987,0.0016084317
военный,0.0071184733,0.009137038,0.00058625836
министерство,0.0046994877,0.0003244429,0.0008465871
заместитель,0.0021772508,0.00036181204,0.0016192449
программа,0.009947755,0.00017417598,0.0021690966
спикер,0.00054602494,0.000988817,0.0027747431
помогать,0.0026319795,0.0004930821,0.0026706657
государство,0.003626607,0.001781867,0.002431622
республика,0.0004497006,0.0014059227,0.0015314305
международный,0.0018125045,0.0024343936,0.0022201636
федерация,0.0012777963,0.0009924194,0.0012693693
очень,0.00021493658,0.0044674342,0.0002801518
добиваться,0.0008383946,0.0013691919,0.0007928199
